[11:41 01.11.2024 +00:00] Duration from: 5,5 - 6 часов => to: 5,5 - 6 часов | 94.233.241.178
[11:43 01.11.2024 +00:00] Duration from: 2,5 - 3 часа => to: 2,5 - 3 часа | 94.233.241.178
[06:27 06.11.2024 +00:00] Duration from: 5 - 6 часов => to: 5 - 6 часов | 94.188.72.32
[17:58 06.11.2024 +00:00] Duration from: 2,5 => to: 2,5 | 94.188.72.32
[12:43 07.11.2024 +00:00] Duration from: 2,5 => to: 2,5 | 5.138.29.18
[12:45 07.11.2024 +00:00] Duration from: 2,5 => to: 2,5 | 5.138.29.18
[12:46 07.11.2024 +00:00] Duration from: 2,5 => to: 2,5 | 5.138.29.18
[07:21 08.11.2024 +00:00] Duration from: 2 - 2,5 часа - автобусная экскурсия + свободное время в Юсуповском дворце  => to: 2,5 - 3,5 часа - автобусная экскурсия + свободное время в Юсуповском дворце  | 94.188.72.32
[05:19 09.11.2024 +00:00] Duration from: 6 => to: 6 | 49.37.234.24
[14:51 09.11.2024 +00:00] Duration from: 14,5 часов => to: 14,5 часов | 94.188.72.32
[14:52 09.11.2024 +00:00] Duration from: 14,5 часов => to: 14,5 часов | 94.188.72.32
[14:54 09.11.2024 +00:00] Duration from: 14,5 часов => to: 14,5 часов | 94.188.72.32
[16:24 09.11.2024 +00:00] Duration from: 14,5 часов => to: 14,5 часов | 92.245.51.63
[10:17 10.11.2024 +00:00] Duration from: 3 часа => to: 3 часа | 94.188.72.32
[13:05 10.11.2024 +00:00] Duration from: 2,5 часа => to: 2,5 часа | 94.188.72.32
[13:06 10.11.2024 +00:00] Duration from: 2,5 - 3 часа => to: 2,5 - 3 часа | 94.188.72.32
[13:08 10.11.2024 +00:00] Duration from: 6 - 7 часов => to: 6 - 7 часов | 94.188.72.32
[13:08 10.11.2024 +00:00] Duration from: 6 - 7 часов => to: 5 - 6 часов | 94.188.72.32
[13:09 10.11.2024 +00:00] Duration from: 5,5 - 6 часов => to: 5,5 - 6 часов | 94.188.72.32
[13:10 10.11.2024 +00:00] Duration from: 2,5 - 3 часа => to: 2,5 - 3 часа | 94.188.72.32
[13:11 10.11.2024 +00:00] Duration from: 3 часа => to: 3 часа | 94.188.72.32
[13:12 10.11.2024 +00:00] Duration from: 3 часа => to: 3 часа | 94.188.72.32
[13:12 10.11.2024 +00:00] Duration from: от 4,5 часов => to: от 4,5 часов | 94.188.72.32
[13:14 10.11.2024 +00:00] Duration from: 2,5 - 3,5 часа - автобусная экскурсия + свободное время в Юсуповском дворце  => to: 2,5 - 3,5 часа - автобусная экскурсия + свободное время в Юсуповском дворце  | 94.188.72.32
[09:24 11.11.2024 +00:00] Duration from: 6 => to: 6 | 49.37.233.175
[10:57 11.11.2024 +00:00] Duration from: 2,5 => to: 2,5 | 49.37.233.175
[11:05 11.11.2024 +00:00] Duration from: 2,5 => to: 2,5 | 49.37.233.175
[11:12 11.11.2024 +00:00] Duration from: 2,5 => to: 2,5 | 49.37.233.175
[11:13 11.11.2024 +00:00] Duration from: 2,5 => to: 2,5 | 49.37.233.175
[16:58 11.11.2024 +00:00] Duration from: 2,5 => to: 2,5 | 46.63.223.181
[16:59 11.11.2024 +00:00] Duration from: 2,5 => to: 2,5 | 46.63.223.181
[17:01 11.11.2024 +00:00] Duration from: 2,5 => to: 2,5 | 46.63.223.181
[17:03 11.11.2024 +00:00] Duration from: 2,5 => to: 2,5 | 46.63.223.181
[17:07 11.11.2024 +00:00] Duration from: 2,5 => to: 2,5 | 46.63.223.181
